Senior Officials Name,Start date of trip,Duration of Visit (Days )Please round this up to the no of days,"Destination - Format must be City, Country","Purpose of trip - Please clearly state the purpose of each trip in detail, ie External meeting must be External meeting with ABC INCORPORATED",Mode of transport,Class of travel,Accommodation/Meals (£),Other (including hospitality given) - Any other costs of the trip,"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Sarah Sharples,20/10/2022,1,"London,UK",MEETING WITH EXTERNAL BODIES - Connected Places Catapult Transport Research Innovation Grants Launch,Rail ,Standard,Nil Return,Nil Return,130.5,Nil Return
Sarah Sharples,24/10/2022,2,"Birmingham,UK",INTERNAL MEETING - Private Office awayday,Rail ,Standard,251.1,Nil Return,422.55,Nil Return
Sarah Sharples,08/11/2022,1,"Cranfield,UK","CONFERENCE ATTENDANCE - Through-life Engineering Services Conference 22, on way back from Berlin",Rail ,Standard,Nil Return,Nil Return,42.45,Nil Return
Sarah Sharples,14/11/2022,2,"London,UK",CONFERENCE ATTENDANCE - Academic Engagement event,Rail ,Standard,202,Nil Return,399.25,Nil Return
Sarah Sharples,16/11/2022,1,"Birmingham,UK",INTERNAL MEETING - ScITech team day,Rail ,Standard,Nil Return,Nil Return,46.45,Nil Return
Sarah Sharples,21/11/2022,1,"London,UK",CONFERENCE ATTENDANCE - Parlimentary Office for Science and Technology & Economic and Social Research Council’s Thematic Research Leads Launch,Rail ,Standard,Nil Return,Nil Return,197.25,Nil Return
Sarah Sharples,22/11/2022,2,"Newbury,UK",SITE VISIT - Defence Science and Technology Labs ,Cars,Nil Return,78.5,Nil Return,235.1,Nil Return
Sarah Sharples,25/11/2022,1,"London,UK",INTERNAL MEETING - DTS Directors awayday,Rail,Standard,Nil Return,Nil Return,140.25,Nil Return
Sarah Sharples,29/11/2022,2,"London,UK",CONFERENCE ATTENDANCE - Intelligent Mobility Programme Demo Day,Rail,Standard,262,Nil Return,417.75,Nil Return
Sarah Sharples,06/12/2022,2,"Cambridge,UK ",CONFERENCE ATTENDANCE - University of Cambridge Aviation Impact Accelerator dinner (via London),Rail,Standard,232,Nil Return,416.6,Nil Return
Sarah Sharples,09/12/2022,1,"London,UK",MEETING WITH EXTERNAL BODIES - Chartered Institution of Highways and Transportation Annual Luncheon,Rail,Standard,Nil Return,Nil Return,100.75,Nil Return
Simon Smith,05/10/2022,3,"Amsterdam,Netherlands",Meeting with External Bodies - World Passenger Festival,Rail,Standard,307.32,Nil Return,401.32,Nil Return
Stephen Fidler,12/10/2022,2,"Leeds,UK",MULTIPLE WORKPLACE TRAVEL COST & INTERNAL MEETING - Working In Leeds Office and SLT Meeting,Rail,Standard,100,Nil Return,221.95,Nil Return
Stephen Fidler,02/11/2022,2,"Birmingham,UK",CONFERENCE ATTENDANCE - Highways UK,"Rail,Bus,Taxi",Standard,60.45,Nil Return,170.05,Nil Return
Stephen Fidler,06/11/2022,7,"Dakar,Senegal",CONFERENCE ATTENDANCE - World Road Association (PIARC) - Council & Executive Committee,"Rail,Air,Taxi,Ferry",Standard,949.45,1402.42,2123.3,Nil Return
Stephen Fidler,17/11/2022,1,"Hastings,UK",MULTIPLE WORKPLACE TRAVEL COST - Work from Hastings office,Rail,Standard,Nil Return,Nil Return,49.7,Nil Return
Stephen Fidler,24/11/2022,2,"Liverpool,UK ",MEETING WITH EXTERNAL BODIES - Liverpool City Region engagement,Rail,Standard,Nil Return,Nil Return,239.9,Nil Return
Susanna May,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Thomas Wechsler,02/11/2022,1,"London,UK",Attend meeting with Secretary of State - 3 taxis's,Taxi,Standard,25.14,Nil Return,17.14,Nil Return
Thomas Wechsler,17/11/2022,1,"London,UK",Ministerial Meeting,Taxi,Standard,7.92,Nil Return,7.92,Nil Return
