Minister,Date,Name of organisation or individual,Purpose of meeting,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-15,Joint meeting Rail Delivery Group and Network Rail ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-16,Meeting with Rail Delivey Group ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-18,Meeting with Railway Industry Association,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-22,Meeting with Chiltern Railways ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-22,Joint meeting Rail Delivery Group and Network Rail ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-22,Meeting with  GB Rail Freight,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-23,Meeting with Rail Freight Group,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-23,Meeting with Rail Delivey Group ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-23,Meeting with Govia Thameslink Railway ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-25,Meeting with East Midlands Trains,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-25,"National Union of Rail, Maritime and Transport Workers (RMT)",To discuss the following covid related issues: rail – latest social distancing announcement; bus – new funding package and future engagement; employment legislation covering seafarers,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-26,Meeting with Greater Anglia,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-26,"Meeting with accessibility groups, Guide Dogs UK , National Autistic Society , Carers UK, Action on Hearing Loss, Scope, Disability Rights UK
",discuss impact of covid 19 on disabled people,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-29,Joint meeting Rail Delivery Group and Network Rail ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-30,Meeting with CrossCountry trains,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-02,Isle of Wight Ferries,To discuss support for lifeline ferry services,,,,,,,,,,,,,,,,,,,,,,
