District,Ward,SaleYr,Type,Ward_VerifiedSales,Reporting_MinPrice,Reporting_LQPrice,Reporting_MedianPrice,Reporting_MeanPrice,Reporting_UQPrice,Reporting_MaxPrice
"NEWRY, MOURNE AND DOWN",CROSSGAR AND KILLYLEAGH,2010,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSGAR AND KILLYLEAGH,2011,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSGAR AND KILLYLEAGH,2012,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSGAR AND KILLYLEAGH,2013,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSGAR AND KILLYLEAGH,2014,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSGAR AND KILLYLEAGH,2015,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSGAR AND KILLYLEAGH,2016,URBAN,1,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CROSSGAR AND KILLYLEAGH,2017,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSGAR AND KILLYLEAGH,2018,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSGAR AND KILLYLEAGH,2019,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSGAR AND KILLYLEAGH,2020,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSGAR AND KILLYLEAGH,2021,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSGAR AND KILLYLEAGH,2022,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSGAR AND KILLYLEAGH,2023,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSMAGLEN,2005,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSMAGLEN,2006,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSMAGLEN,2007,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSMAGLEN,2008,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSMAGLEN,2009,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSMAGLEN,2010,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSMAGLEN,2011,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSMAGLEN,2012,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSMAGLEN,2013,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSMAGLEN,2014,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSMAGLEN,2015,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSMAGLEN,2016,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSMAGLEN,2017,URBAN,0,0,0,0,0,0,0
