ArrivalAtBip,CountryOfOriginName,CountryFromWhereConsigned,BCPName,CommodityCode,CommodityGroups,CommodityDescription,SpeciesNomination,GrossWeightKg,NetWeightKg,NumberOfPackages,Temperature,ForInternalMarket,DocumentaryCheck,IdentityCheckType,IdentityCheckResult,PhysicalCheck,PhysicalCheckDone,PhysicalCheckNotDone,LabTestDate,LabTestName,LabTestResult
2021-01-29,Turkey,Turkey,Felixstowe,210690,Miscellaneous edible preparations (FNAO),Other,N/A,135,121.5,190,ambient,HumanConsumption,notsatisfactory,fullidentitycheck,notsatisfactory,satisfactory,N/A,N/A,N/A,N/A,N/A
2021-01-29,Vietnam,Vietnam,Grimsby,3061792,Fish & fish products,Shrimps of the genus Penaeus,Penaeus vannamei,22000,20000,40,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-29,Vietnam,Vietnam,Grimsby,16052190,Fish & fish products,Other,Penaeus vannamei,22000,20000,40,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-29,United States,United States,Stansted,30029030,Pharmaceutical products,"Animal blood prepared for therapeutic, prophylactic or diagnostic uses",Otra,7.25,0.09,1,chilled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-29,China,China,Felixstowe,160239,Poultry,Other,Aves,24840,23000,2300,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-29,India,India,Felixstowe,3061799,Fish & fish products,Other,Macrobrachium rosenbergii,11760,6300,1500,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,satisfactory,N/A,N/A,2022-02-11,.TETRACYCLINES,satisfactory
2021-01-29,India,India,Felixstowe,3061799,Fish & fish products,Other,Macrobrachium rosenbergii,11760,6300,1500,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,satisfactory,N/A,N/A,2022-02-11,Chloramphenicol,satisfactory
2021-01-29,India,India,Felixstowe,3061799,Fish & fish products,Other,Macrobrachium rosenbergii,11760,6300,1500,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,satisfactory,N/A,N/A,2022-02-11,Nitrofurans,satisfactory
2021-01-30,China,China,Grimsby,3047200,Fish & fish products,Haddock (Melanogrammus aeglefinus),Gadus (Melanogrammus) aeglefinus,22828,16377.87,5235,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-31,Ireland,Ireland,DEFRA,20130,Bovine meat and bovine meat products,Boneless,Bos taurus,12256.57,11306.83,1560,chilled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
