"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","People Strategy and Development","POSN000149","C","23826","27397","HR Officer","1.00","Human Resources"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Online Harms Policy","POSN005983","A","47073","58207","Senior Policy Adviser","8.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Online Harms Policy","POSN005983","A(U)","53328","68310","Senior Policy Adviser","3.72","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Online Harms Policy","POSN005983","B","30955","44558","Policy Adviser","12.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Online Harms Policy","POSN005983","C","23826","27397","Policy Adviser","3.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Online Harms Policy","POSN005983","D","21216","23314","Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Online Harms Regulation","POSN003225","A","47073","58207","Senior Policy Adviser","12.76","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Online Harms Regulation","POSN003225","A(U)","53328","68310","Senior Policy Adviser","4.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Online Harms Regulation","POSN003225","B","30955","44558","Policy Adviser","11.80","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Online Harms Regulation","POSN003225","C","23826","27397","Policy Adviser","2.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Security and International","POSN002728","A","47073","58207","Senior Policy Adviser","7.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Security and International","POSN002728","A(U)","53328","68310","Senior Policy Adviser","3.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Security and International","POSN002728","B","30955","44558","Policy Adviser","19.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Ceremonials","POSN000735","A","47073","58207","Senior Policy Adviser","6.59","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Ceremonials","POSN000735","A(U)","53328","68310","Senior Policy Adviser","2.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Ceremonials","POSN000735","B","30955","44558","Policy Adviser","4.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Ceremonials","POSN000735","C","23826","27397","Policy Adviser","1.80","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Gambling and Lotteries","POSN001327","A","47073","58207","Senior Policy Adviser","6.27","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Gambling and Lotteries","POSN001327","A(U)","53328","68310","Senior Policy Adviser","2.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Gambling and Lotteries","POSN001327","B","30955","44558","Policy Adviser","7.59","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Gambling and Lotteries","POSN001327","C","23826","27397","Policy Adviser","2.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Major Sporting Events","POSN005382","A","47073","58207","Senior Policy Adviser","1.81","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Major Sporting Events","POSN005382","B","30955","44558","Policy Adviser","3.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Major Sporting Events","POSN005382","C","23826","27397","Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Sport","POSN001586","A","47073","58207","Senior Policy Adviser","7.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Sport","POSN001586","A(U)","53328","68310","Senior Policy Adviser","2.89","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Sport","POSN001586","B","30955","44558","Policy Adviser","13.81","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Sport, Gambling and Ceremonials","POSN006266","A","47073","58207","Senior Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Sport, Gambling and Ceremonials","POSN006266","A(U)","53328","68310","Senior Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Sport, Gambling and Ceremonials","POSN006266","B","30955","44558","Policy Adviser","2.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Sport, Gambling and Ceremonials","POSN006266","C","23826","27397","Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Transformation","POSN005298","A","47073","58207","Senior Policy Adviser","4.60","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Transformation","POSN005298","A(U)","53328","68310","Senior Policy Adviser","2.80","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Transformation","POSN005298","B","30955","44558","Policy Adviser","2.80","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Transformation","POSN005298","C","23826","27397","Policy Adviser","2.00","Policy"
