,Breed Type,Sex,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,Totals to Date,,
HOLSTEIN X,Dairy,F,8,14,7,8,5,6,10,11,10,8,11,7,8,7,5,7,4,6,2,0,4,5,5,0,14,10,0,7,6,0,9,6,0,13,13,0,99,92,45
,,M,8,7,12,8,11,2,4,12,5,11,12,4,2,5,7,8,9,6,7,2,3,5,14,0,25,12,0,7,10,0,6,8,0,12,11,0,103,113,39
IRISH MOILED,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JERSEY,Dairy,F,52,60,47,43,44,44,31,71,60,33,49,46,20,26,27,26,17,14,29,13,23,18,18,0,30,27,0,25,27,0,35,46,0,59,87,0,401,485,261
,,M,14,23,14,32,25,11,24,37,33,22,16,15,13,10,13,39,8,5,7,12,7,9,9,0,19,12,0,15,11,0,12,23,0,19,20,0,225,206,98
JERSEY X,Dairy,F,4,4,3,29,48,30,82,109,77,43,53,38,11,16,21,8,11,11,4,5,3,9,8,0,13,11,0,14,9,0,7,10,0,8,10,0,232,294,183
,,M,1,7,11,23,21,23,28,68,29,16,34,28,8,20,10,1,2,9,2,6,1,3,7,0,4,5,0,4,5,0,6,6,0,3,4,0,99,185,111
LIMOUSIN,Non Dairy,F,39,33,29,29,28,33,42,44,34,41,63,47,52,62,50,36,35,40,17,23,22,10,9,0,15,19,0,12,17,0,29,19,0,18,24,0,340,376,255
,,M,33,31,38,36,38,26,42,53,45,57,83,58,76,69,70,34,39,36,27,37,22,12,18,0,10,12,0,15,18,0,32,26,0,23,32,0,397,456,295
LIMOUSIN X,Non Dairy,F,183,208,200,181,206,173,249,313,282,355,454,364,286,342,289,203,203,183,102,136,92,102,111,0,93,109,0,96,129,0,140,138,0,156,213,0,"2,146","2,562","1,583"
,,M,239,226,251,231,243,181,282,330,343,418,475,420,347,396,333,251,235,221,164,160,127,109,141,0,128,169,0,129,180,0,173,192,0,214,285,0,"2,685","3,032","1,876"
LINCOLN RED,Non Dairy,F,1,0,1,3,3,0,3,7,2,2,2,1,3,0,2,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,14,6
,,M,1,1,0,3,2,2,3,2,3,5,3,4,6,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,21,13,11
LINCOLN RED X,Non Dairy,F,0,0,1,0,2,0,0,2,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,3
