Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Support Costs,EASILY LTD,Information and Communications Technology,Information Communication Technology  ,05.05.2021,16.06.2021,GPC05210000011,7.50
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,05.05.2021,16.06.2021,GPC05210000012,148.80
Stockport MBC,Corporate and Support Services,Central Support Costs,AWS EMEA,Information and Communications Technology,Information Communication Technology  ,03.05.2021,16.06.2021,GPC05210000013,"1,078.14"
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Furniture and Equipment,Furniture & Soft Furnishings  ,24.05.2021,16.06.2021,GPC05210000014,7.00
Stockport MBC,Services to People,Childrens & Educational Services,EB  COGNITIVE LOAD IN,Staff Training,Human Resources  ,17.05.2021,16.06.2021,GPC05210000015,30.00
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Furniture and Equipment,Furniture & Soft Furnishings  ,13.05.2021,16.06.2021,GPC05210000016,7.80
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Furniture and Equipment,Furniture & Soft Furnishings  ,07.05.2021,16.06.2021,GPC05210000017,10.00
Stockport MBC,Corporate and Support Services,Central Services to the public,BREAD AND BUTTIES HEAV,Expenses and Allowances,Catering  ,12.05.2021,16.06.2021,GPC05210000018,46.80
Stockport MBC,Corporate and Support Services,Central Services to the public,AMZNMKTPLACE,Office Expenses,Stationery    ,11.05.2021,16.06.2021,GPC05210000019,14.46
Stockport MBC,Corporate and Support Services,Central Services to the public,BREAD AND BUTTIES HEAV,Expenses and Allowances,Catering  ,10.05.2021,16.06.2021,GPC05210000020,49.30
