SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLC_Result_PS_NG,PSPMBAResultMBA1,PSPMBAResultMBA2,PSPAverageMBAResult,DSPResultPositive,DSPResultNegative,DomoicAcid,ActionRequired,SampleNumber2
BTX/2007/2202,Fal,B033P,Falmouth and Truro PHA,SW83883621,East Bank,2007-08-13,2007-08-14,Native Oysters,NG,,,,,,,,BTX/2007/2202
BTX/2007/2203,Fal,B033R,Falmouth and Truro PHA,SW85623321,Percuil,2007-08-13,2007-08-14,Native Oysters,NG,,,,,,,,BTX/2007/2203
BTX/2007/2204,Alde/Ore,B008E,Suffolk Coastal DC,TM46185505,Martello Tower,2007-08-13,2007-08-14,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/2204
BTX/2007/2205,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek,2007-08-13,2007-08-14,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/2205
BTX/2007/2210,Conwy,B044H,Conwy CBC,SH76107970,Morfa,2007-08-13,2007-08-15,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/2210
BTX/2007/2211,Colwyn Bay,B069A,Conwy CBC,SH83208150,Rhos on Sea,2007-08-14,2007-08-15,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/2211
BTX/2007/2212,Lune,B066G,Wyre BC,SD34004870,Knott Spit,2007-08-13,2007-08-15,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/2212
BTX/2007/2213,Liverpool Bay - Wirral,B058D,Mersey PHA,SJ25009200,Leasowe Lighthouse,2007-08-14,2007-08-15,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/2213
BTX/2007/2214,The Wash,B004F,Kings Lynn & W Norfolk BC,TF60703390,Stylemans,2007-08-14,2007-08-15,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/2214
BTX/2007/2240,Bigbury and Avon,B030B,South Hams DC,SX67324494,West Bank,2007-08-13,2007-08-15,Pacific Oysters,NG,,,,,,,,BTX/2007/2240
BTX/2007/2241,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2007-08-13,2007-08-15,Pacific Oysters,NG,,,,,,,,BTX/2007/2241
BTX/2007/2242,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2007-08-14,2007-08-15,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/2242
BTX/2007/2243,Helford,B034A,Falmouth and Truro PHA,SW75282664,Calamansack Bar,2007-08-14,2007-08-15,Native Oysters,,,,,,NEGATIVE,,,BTX/2007/2243
BTX/2007/2244,Plymouth,B32AD,Plymouth PHA,SX41875721,East of Ajax,2007-08-14,2007-08-15,Mussels,NG,,,,,NEGATIVE,<RL,Flesh and water samples advised,BTX/2007/2244
BTX/2007/2245,Newtown,B022E,Isle of Wight Council,SZ42709110,Clamerkin Creek,2007-08-13,2007-08-15,Hard Clams,,ND,ND,ND,,,,,BTX/2007/2245
BTX/2007/2263,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2007-08-14,2007-08-16,Mussels,NG,,,,,NEGATIVE,,,BTX/2007/2263
BTX/2007/2277,Portland,B25AA,Weymouth PHA,SY69317746,Lyme Bay Shellfish,2007-08-20,2007-08-20,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/2277
