Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,April    ,Scotland,Scotland,Angus,Non Dairy,BEEF SHORTHORN X,M,Birth Application,16
2015,April    ,Scotland,Scotland,Ayr,Non Dairy,BEEF SHORTHORN X,F,Birth Application,66
2015,April    ,Scotland,Scotland,Shetland,Non Dairy,BEEF SHORTHORN X,F,Birth Application,7
2015,April    ,Scotland,Scotland,Kirkcudbright,Non Dairy,BEEF SHORTHORN X,F,Birth Application,153
2015,April    ,Scotland,Scotland,Aberdeen,Non Dairy,BEEF SHORTHORN X,F,Birth Application,82
2015,April    ,Scotland,Scotland,Selkirk,Non Dairy,BEEF SHORTHORN X,F,Birth Application,16
2015,April    ,Scotland,Scotland,Stirling,Non Dairy,BEEF SHORTHORN X,M,Birth Application,4
2015,April    ,Scotland,Scotland,Argyll,Non Dairy,BEEF SHORTHORN X,F,Birth Application,33
2015,April    ,Scotland,Scotland,Fife,Non Dairy,BEEF SHORTHORN X,M,Birth Application,12
2015,April    ,Scotland,Scotland,Sutherland,Non Dairy,BEEF SHORTHORN X,M,Birth Application,3
2015,April    ,Scotland,Scotland,Stirling,Non Dairy,BEEF SHORTHORN X,F,Birth Application,3
2015,April    ,Scotland,Scotland,Ayr,Non Dairy,BEEF SHORTHORN X,M,Birth Application,89
2015,April    ,Scotland,Scotland,Aberdeen,Non Dairy,BEEF SHORTHORN X,M,Birth Application,69
2015,April    ,Scotland,Scotland,Moray,Non Dairy,BEEF SHORTHORN X,M,Birth Application,10
2015,April    ,Scotland,Scotland,Angus,Non Dairy,BEEF SHORTHORN X,F,Birth Application,27
2015,April    ,Scotland,Scotland,Banff,Non Dairy,BEEF SHORTHORN X,F,Birth Application,13
2015,April    ,Scotland,Scotland,Banff,Non Dairy,BEEF SHORTHORN X,M,Birth Application,24
2015,April    ,Scotland,Scotland,Dunbarton,Non Dairy,BEEF SHORTHORN X,F,Birth Application,1
